display,gene,display2,entrez,pathway,therapy_type,description,link
CD55 (CD55),CD55,CD55,1604,Innate Immune System,Targeted by Other Immuno-Oncology Therapy Type,CD55 is a glycoprotein.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;CD55"">CD55</a>"
EMR1 (EMR1),EMR1,EMR1,2015,Signal Transduction,Targeted by Other Immuno-Oncology Therapy Type,EMR1 is an adhesion GPCR.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;EMR1"">EMR1</a>"
EPHA3 (EPHA3),EPHA3,EPHA3,2042,Adaptive Immune System,Targeted by Other Immuno-Oncology Therapy Type,EPH receptor A3 is protein-tyrosine kinase implicated in development.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;EPHA3"">EPHA3</a>"
FCER2 (CD23),FCER2,CD23,2208,IL4 Signaling,Targeted by Other Immuno-Oncology Therapy Type,"CD23 is an antibody isotype involved in allergy and resistance to parasites, and important in regulating IgE levels.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;CD23"">CD23</a>"
FCGR1A (CD64),FCGR1A,CD64,2209,Cytokine Signaling in Immune system,Targeted by Other Immuno-Oncology Therapy Type,CD64 is a glycoprotein found on macrophages and monocytes.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;CD64"">CD64</a>"
FGF5 (FGF5),FGF5,FGF5,2250,Signal Transduction,Targeted by Other Immuno-Oncology Therapy Type,"Fibroblast growth factor 5 involved in different signaling cascades including PI3K, RAS-MAPK, and STAT.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;FGF5"">FGF5</a>"
LRRC32 (GARP),LRRC32,GARP,2615,TGFb Signaling,T-cell targeted immunomodulator,"GARP is a regulator of TGFB1, TGFB2, and TGFB3.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;GARP"">GARP</a>"
GDNF (GDNF),GDNF,GDNF,2668,Signal Transduction,Targeted by Other Immuno-Oncology Therapy Type,GDNF or glial cell derived neurotrophic factor is secreted ligand of the TGF-beta superfamily of proteins.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;GDNF"">GDNF</a>"
GHRH (GHRH),GHRH,GHRH,2691,Signal Transduction,Targeted by Other Immuno-Oncology Therapy Type,Growth hormone releasing hormone triggers the release of growth hormone.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;GHRH"">GHRH</a>"
GNRH1 (LHRH),GNRH1,LHRH,2796,Cell Cycle,Targeted by Other Immuno-Oncology Therapy Type,Gonadotropin releasing hormone 1 leads to the synthesis and secretion of gonadotropins LH and FSH.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;LHRH"">LHRH</a>"
CCR10 (CCR10),CCR10,CCR10,2826,Cytokine Signaling in Immune system,Other immunomodulator,CCR10 is a chemokine receptor and is involved in T cell-mediated skin inflammation.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;CCR10"">CCR10</a>"
CXCR3 (CXCR3),CXCR3,CXCR3,2833,Chemokine signaling,Other immunomodulator,CXCR3 or C-X-C motif chemokine receptor 3 is expressed on activated T lymphocytes and NK cells.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;CXCR3"">CXCR3</a>"
GUCY2C (GUCY2C),GUCY2C,GUCY2C,2984,GC-C Signaling,Targeted by Other Immuno-Oncology Therapy Type,Guanylate cyclase 2C is a key receptor for heat-stable enterotoxins.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;GUCY2C"">GUCY2C</a>"
HDAC2 (HDAC2),HDAC2,HDAC2,3066,Chromatin modifying enzymes,Other immunomodulator,Histone deacetylase 2 removes acetyl groups from the lysine residues at the N-terminal of core histones.,"<a href=""NA"">NA</a>"
HMMR (CD168),HMMR,CD168,3161,Cell Cycle,Targeted by Other Immuno-Oncology Therapy Type,CD168 or Hyaluronan mediated motility receptor is overexpressed in breast cancer.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;CD168"">CD168</a>"
IL1A (IL1A),IL1A,IL1A,3552,Cytokine Signaling in Immune system,Other immunomodulator,Interleukin 1 alpha is produced by activated macrophages and can lead to the activation of tumor necrosis factor-alpha.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;IL1A"">IL1A</a>"
IL4 (IL4),IL4,IL4,3565,Cytokine Signaling in Immune system,T-cell targeted immunomodulator,interleukin 4 induces naïve helper T cells to differentiate.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;IL4"">IL4</a>"
IL4R (IL4R),IL4R,IL4R,3566,Cytokine Signaling in Immune system,T-cell targeted immunomodulator,interleukin 4 receptor binds its ligand to induce naïve helper T cells to differentiate.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;IL4R"">IL4R</a>"
IL6ST (CD130),IL6ST,CD130,3572,Cytokine Signaling in Immune system,Other immunomodulator,CD130 or interleukin 6 signal transducer is a subunit of IL6-receptor family.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;CD130"">CD130</a>"
IL18 (IL18),IL18,IL18,3606,Cytokine Signaling in Immune system,Targeted by Other Immuno-Oncology Therapy Type,Interleukin 18 induces interferon-gamma production and may modulate both innate and adaptive immunity.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;IL18"">IL18</a>"
ITGA4 (ITGA4),ITGA4,ITGA4,3676,Adaptive Immune System,Other immunomodulator,integrin subunit alpha 4 is involved in lymphocyte migration.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;ITGA4"">ITGA4</a>"
LGALS3BP (LGALS3BP),LGALS3BP,LGALS3BP,3959,Cell-cell signaling,Other immunomodulator,Galectin 3 binding protein is elevated in the serum of some cancer patients and may be implicated in immune response associated with natural killer cells and lymphokine-activated killer cells.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;LGALS3BP"">LGALS3BP</a>"
LTA (LTA),LTA,LTA,4049,Cytokine Signaling in Immune system,Targeted by Other Immuno-Oncology Therapy Type,Lymphotoxin alpha is a member of the tumor necrosis factor family and is a cytokine produced by lymphocytes.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;LTA"">LTA</a>"
MCL1 (MCL1),MCL1,MCL1,4170,Apoptosis,Targeted by Other Immuno-Oncology Therapy Type,"MCL1 is BCL2 family apoptosis regulator, whose alternative splicing can either inhibit or promote apoptosis.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;MCL1"">MCL1</a>"
CD99 (MIC2),CD99,MIC2,4267,Adaptive Immune System,Other immunomodulator,MIC2 or CD99 is expressed on all leukocytes and may augment T-cell adhesion.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;MIC2"">MIC2</a>"
CXCL9 (CXCL9),CXCL9,CXCL9,4283,Chemokine signaling,T-cell targeted immunomodulator,C-X-C motif chemokine ligand 9 is involved in immune cell differentiation.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;CXCL9"">CXCL9</a>"
MMP2 (MMP2),MMP2,MMP2,4313,Matrix Metalloproteinase,Targeted by Other Immuno-Oncology Therapy Type,MMP2 is a matrix metalloproteinase involved in the breakdown of extracellular matrix.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;MMP2"">MMP2</a>"
MUC2 (MUC2),MUC2,MUC2,4583,Innate Immune System,Targeted by Other Immuno-Oncology Therapy Type,Mucin 2 coats the epithelia of mucus-membrane containing organs.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;MUC2"">MUC2</a>"
NFKB1 (NFKB),NFKB1,NFKB,4790,Cytokine Signaling in Immune system,Other immunomodulator,Nuclear factor kappa B subunit 1 is a part of a protein complex that controls DNA transcription and regulates immune response to infection.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;NFKB"">NFKB</a>"
YBX1 (YBX1),YBX1,YBX1,4904,Signal Transduction,Targeted by Other Immuno-Oncology Therapy Type,"Y-box binding protein 1 is target in cancer therapy, since it supports the replication of adenovirus oncolytic viruses.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;YBX1"">YBX1</a>"
KLK7 (KLK7),KLK7,KLK7,5650,Cytokine Signaling in Immune system,Targeted by Other Immuno-Oncology Therapy Type,"Kallikrein related peptidase 7 is a serine protease, whose overexpression may be a route for metastasis in solid tumors.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;KLK7"">KLK7</a>"
PTGER2 (PTGER2),PTGER2,PTGER2,5732,Signal Transduction,Other immunomodulator,"Prostaglandin E receptor 2 is a GPCR, which can regulate G protein cell signaling pathways. Functions in neutrophils modulate TNFa and IL6 production.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;PTGER2"">PTGER2</a>"
PTGER4 (PTGER4),PTGER4,PTGER4,5734,Signal Transduction,Other immunomodulator,Prostaglandin E receptor 4 is one of the receptors for prostaglandin E2 and can activate T-cell factor signaling.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;PTGER4"">PTGER4</a>"
PTPN11 (NS1),PTPN11,NS1,5781,Cytokine Signaling in Immune system,Targeted by Other Immuno-Oncology Therapy Type,"NS1 or protein tyrosine phosphatase, non-receptor type 11 is a signaling molecule that regulates many cellular processes.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;NS1"">NS1</a>"
RB1 (RB),RB1,RB,5925,Cell Cycle,Targeted by Other Immuno-Oncology Therapy Type,RB or RB transcriptional corepressor 1 is a negative regulator of the cell cycle and was the first tumor suppressor gene found.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;RB"">RB</a>"
ROBO1 (ROBO1),ROBO1,ROBO1,6091,Adaptive Immune System,Targeted by Other Immuno-Oncology Therapy Type,ROBO1 or roundabout guidance receptor 1 is a member of the immunoglobulin gene superfamily.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;ROBO1"">ROBO1</a>"
CCL2 (CCL2),CCL2,CCL2,6347,Chemokine signaling,Targeted by Other Immuno-Oncology Therapy Type,CCL2 or C-C motif chemokine ligand 2 binds chemokine receptors CCR2 and CCR4 with chemotactic activity on monocytes and basophils.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;CCL2"">CCL2</a>"
SELPLG (CD162),SELPLG,CD162,6404,Cell surface interactions,Other immunomodulator,"CD162 or selectin P ligand is a glycoprotein that functions as a high affinity counter-receptor for the cell adhesion molecules P-, E- and L- selectin expressed on myeloid cells and stimulated T lymphocytes.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;CD162"">CD162</a>"
TGFB3 (TGFB3),TGFB3,TGFB3,7043,Signal Transduction,Other immunomodulator,Transforming growth factor beta 3 is a secreted ligand in the TGF-beta superfamily of proteins.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;TGFB3"">TGFB3</a>"
TK1 (TK1),TK1,TK1,7083,Cell Cycle,Targeted by Other Immuno-Oncology Therapy Type,TK1 or thymidine kinase 1 catalyzes the addition of a gamma-phosphate group to thymidine.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;TK1"">TK1</a>"
TLR1 (CD281),TLR1,CD281,7096,Adaptive Immune System,Other immunomodulator,CD281 or Toll-like receptor 1 is a member of Toll-like receptor family and plays a role in pathogen recognition and activation of innate immunity.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;CD281"">CD281</a>"
TNFRSF1A (TNFRSF1A),TNFRSF1A,TNFRSF1A,7132,Cytokine Signaling in Immune system,Other immunomodulator,"TNFRSF1A is a TNF receptor superfamily member. It plays a role in cell survival, apoptosis, and survival.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;TNFRSF1A"">TNFRSF1A</a>"
TNFRSF1B (TNFR2),TNFRSF1B,TNFR2,7133,Apoptosis,Other immunomodulator,TNFR2 is a TNF receptor superfamily member 1B. It mediates the recruitment of anti-apoptotic proteins.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;TNFR2"">TNFR2</a>"
TPH1 (TPH1),TPH1,TPH1,7166,Amine-derived hormones,Other immunomodulator,Tryptophan hydroxylase 1 catalyzes the first and rate limiting step in the biosynthesis of serotonin.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;TPH1"">TPH1</a>"
TTK (TTK),TTK,TTK,7272,Cell Cycle,Targeted by Other Immuno-Oncology Therapy Type,TTK protein kinase is a dual specificity kinase found to be a critical mitotic checkpoint protein for the segregation of chromosomes.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;TTK"">TTK</a>"
TYRP1 (TYRP1),TYRP1,TYRP1,7306,Metabolism of amino acids and derivatives,Targeted by Other Immuno-Oncology Therapy Type,TYRP1 or tyrosinase related protein 1 plays a role in melanin biosynthesis.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;TYRP1"">TYRP1</a>"
TNFSF11 (TNFSF11),TNFSF11,TNFSF11,8600,Cytokine Signaling in Immune system,Other immunomodulator,"TNFSF11 is TNF superfamily member, and shown to be a dendritic cell survival factor and involved in the regulation of T cell-dependent immune response.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;TNFSF11"">TNFSF11</a>"
TNFRSF25 (TNFRSF12),TNFRSF25,TNFRSF12,8718,Cytokine Signaling in Immune system,Other immunomodulator,"TNFRSF12 is TNF receptor superfamily member, and may regulate lymphocyte homeostasis.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;TNFRSF12"">TNFRSF12</a>"
TNFSF13 (TNFSF13),TNFSF13,TNFSF13,8741,Cytokine Signaling in Immune system,Other immunomodulator,"TNFSF13 is TNF superfamily member, and is important for B cell development.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;TNFSF13"">TNFSF13</a>"
TNFRSF11A (TNFRSF11A),TNFRSF11A,TNFRSF11A,8792,Cytokine Signaling in Immune system,Other immunomodulator,"TNFRSF11A is TNF receptor superfamily member, and regulate the interaction between T cells and dendritic cells.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;TNFRSF11A"">TNFRSF11A</a>"
TNFRSF10B (TNFRSF10B),TNFRSF10B,TNFRSF10B,8795,Adaptive Immune System,Other immunomodulator,"TNFRSF10B is TNF receptor superfamily member, and transduces apoptosis.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;TNFRSF10B"">TNFRSF10B</a>"
TNFRSF10A (TNFRSF10A),TNFRSF10A,TNFRSF10A,8797,Adaptive Immune System,Other immunomodulator,"TNFRSF10A is TNF receptor superfamily member, and induces apoptosis.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;TNFRSF10A"">TNFRSF10A</a>"
IL18R1 (IL18R1),IL18R1,IL18R1,8809,Cytokine Signaling in Immune system,Other immunomodulator,Interleukin 18 receptor 1 is induced by IFN-alpha and IL12 in NK and T cells.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;IL18R1"">IL18R1</a>"
HDAC3 (HDAC3),HDAC3,HDAC3,8841,Chromatin modifying enzymes,Other immunomodulator,"Histone deacetylase 3 removes the acetyl groups from histones to play a role in transcriptional regulation, cell cycle, and development.","<a href=""NA"">NA</a>"
PDLIM7 (LMP1),PDLIM7,LMP1,9260,Innate Immune System,Targeted by Other Immuno-Oncology Therapy Type,LMP1 or PDZ and LIM domain 7 functions in protein-protein recognition.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;LMP1"">LMP1</a>"
AIM2 (AIM2),AIM2,AIM2,9447,Innate Immune System,Other immunomodulator,AIM2 or absent in melanoma 2 is downstream of IFN-gamma and may control cell proliferation.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;AIM2"">AIM2</a>"
IL27RA (IL27R),IL27RA,IL27R,9466,Cytokine Signaling in Immune system,Other immunomodulator,IL27R or interleukin 27 receptor subunit alpha leads to transcriptional activation of STAT1 and augments the induction of T-bet expression during initiation of Th1 cell differentiation.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;IL27R"">IL27R</a>"
ISG15 (ISG15),ISG15,ISG15,9636,Cytokine Signaling in Immune system,Targeted by Other Immuno-Oncology Therapy Type,ISG15 or ISG15 ubiquitin-like modifier is a ubiquitin-like protein that may regulate chemotactic activity towards neutrophils.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;ISG15"">ISG15</a>"
VGLL4 (VGLL4),VGLL4,VGLL4,9686,Transcription Regulation,Targeted by Other Immuno-Oncology Therapy Type,VGLL4 or vestigial like family member 4 is a transcriptional cofactor that interacts with TEA domain transcription factors and lower expression correlates with poor survival in solid cancers.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;VGLL4"">VGLL4</a>"
HDAC6 (HDAC6),HDAC6,HDAC6,10013,Adaptive Immune System,Other immunomodulator,"Histone deacetylase 6 removes the acetyl groups from histones to play a role in transcriptional regulation, cell cycle, and development.","<a href=""NA"">NA</a>"
KLRG1 (KLRG1),KLRG1,KLRG1,10219,Adaptive Immune System,Other immunomodulator,KLRG1 or killer cell lectin like receptor G1 is preferentially expressed on NK cells and may be regulated by MHC class I molecules.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;KLRG1"">KLRG1</a>"
TRAIP (TRAIP),TRAIP,TRAIP,10293,Adaptive Immune System,Targeted by Other Immuno-Oncology Therapy Type,TRAIP or TRAF interacting protein negatively regulates innate immune signaling by inhibiting TRAF2 activation of NFKB signaling.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;TRAIP"">TRAIP</a>"
TNFSF13B (TNFSF13B),TNFSF13B,TNFSF13B,10673,Cytokine Signaling in Immune system,Other immunomodulator,TNFSF13B or TNF superfamily member 13b is a TNF superfamily member and acts as a B cell activator.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;TNFSF13B"">TNFSF13B</a>"
DLL3 (DLL3),DLL3,DLL3,10683,Notch Signaling,Targeted by Other Immuno-Oncology Therapy Type,DLL3 or delta like canonical Notch ligand 3 is a Notch ligand being targeted in lung cancer.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;DLL3"">DLL3</a>"
HPSE (HPSE),HPSE,HPSE,10855,Glycosaminoglycan metabolism,Other immunomodulator,HPSE or heparanase cleaves heparan sulfate proteoglycans to permit cell movement through extracellular matrix.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;HPSE"">HPSE</a>"
CHEK2 (CHEK2),CHEK2,CHEK2,11200,Cell Cycle,Other immunomodulator,CHEK2 or checkpoint kinase 2 halts cell cycle progression in response to DNA damage and replication blocks.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;CHEK2"">CHEK2</a>"
DKK1 (DKK1),DKK1,DKK1,22943,Signal Transduction,Targeted by Other Immuno-Oncology Therapy Type,DKK1 or dickkopf WNT signaling pathway inhibitor 1 is a negative regulator of the Wnt pathway and plays a role in development.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;DKK1"">DKK1</a>"
BRD4 (BRD4),BRD4,BRD4,23476,Chromatin regulation,T-cell targeted immunomodulator,BRD4 or bromodomain containing 4 associates with the chromosomes during mitosis.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;BRD4"">BRD4</a>"
SIGLEC9 (SIGLEC9),SIGLEC9,SIGLEC9,27180,Adaptive Immune System,T-cell targeted immunomodulator,SIGLEC9 or sialic acid binding Ig like lectin 9 has been found to be overexpressed in CD8 T cells in melanoma and may be suppress T-cell function.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;SIGLEC9"">SIGLEC9</a>"
CLEC2D (CLEC2D),CLEC2D,CLEC2D,29121,Adaptive Immune System,Other immunomodulator,CLEC2D or C-type lectin domain family 2 member D is a member of the natural killer cell receptor C-type lectin family.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;CLEC2D"">CLEC2D</a>"
IL19 (IL19),IL19,IL19,29949,Cytokine Signaling in Immune system,Other immunomodulator,"IL19 or interleukin 19 belongs to the IL10 cytokine subfamily, and is preferentially expressed on monocytes.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;IL19"">IL19</a>"
TNFRSF12A (TNFRSF12A),TNFRSF12A,TNFRSF12A,51330,Cytokine Signaling in Immune system,Other immunomodulator,"TNFRSF12A or TNF receptor superfamily member 12A is a TNF receptor superfamily member with roles in apoptosis, angiogenesis, cell adhesion and innate immune system.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;TNFRSF12A"">TNFRSF12A</a>"
PCDH18 (PCDH18),PCDH18,PCDH18,54510,Cell adhesion,Other immunomodulator,PCDH18 or protocadherin 18 is a protocadherin thought to play a role in cell-specific connections in the brain.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;PCDH18"">PCDH18</a>"
RNF43 (RNF43),RNF43,RNF43,54894,Signal Transduction,Targeted by Other Immuno-Oncology Therapy Type,RNF43 or ring finger protein 43 is a RING-type E3 ubiquitin ligase and is thought to negatively regulate Wnt signaling.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;RNF43"">RNF43</a>"
GPRC5D (GPRC5D),GPRC5D,GPRC5D,55507,GPCRs,Targeted by Other Immuno-Oncology Therapy Type,GPRC5D or G protein-coupled receptor class C group 5 member D is a GPCR that has been a target for CAR T cells for multiple myeloma.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;GPRC5D"">GPRC5D</a>"
HDAC8 (HDAC8),HDAC8,HDAC8,55869,Cell Cycle,Other immunomodulator,"Histone deacetylase 8 removes the acetyl groups from histones to play a role in transcriptional regulation, cell cycle, and development.","<a href=""NA"">NA</a>"
PVRL4 (NECTIN4),PVRL4,NECTIN4,81607,Adherens junctions interactions,Targeted by Other Immuno-Oncology Therapy Type,NECTIN4 or nectin cell adhesion molecule 4 is involved in cell adhesion.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;NECTIN4"">NECTIN4</a>"
MOSPD2 (MOSPD2),MOSPD2,MOSPD2,158747,Innate Immune System,Targeted by Other Immuno-Oncology Therapy Type,MOSPD2 or motile sperm domain containing 2 promotes migration of primary monocytes and neutrophils in response to chemokines.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;MOSPD2"">MOSPD2</a>"
SIGLEC15 (SIGLEC15),SIGLEC15,SIGLEC15,284266,Innate Immune System,Other immunomodulator,SIGLEC15 or sialic acid binding Ig like lectin 15 binds sialylated glycoproteins and plays a role in the innate immune system.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;SIGLEC15"">SIGLEC15</a>"
ILDR2 (ILDR2),ILDR2,ILDR2,387597,T-cell activation,T-cell targeted immunomodulator,ILDR2 negatively regulates Notch signaling and T-cell activation.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;ILDR2"">ILDR2</a>"
