Gene,HGNC Symbol,Friendly Name,Entrez ID,Pathway,Therapy Type,Description,IO_target_URL
PTGER2 (PTGER2),PTGER2,PTGER2,5732,Signal Transduction,Other immunomodulator,"Prostaglandin E receptor 2 is a GPCR, which can regulate G protein cell signaling pathways. Functions in neutrophils modulate TNFa and IL6 production.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;PTGER2
PTGER4 (PTGER4),PTGER4,PTGER4,5734,Signal Transduction,Other immunomodulator,Prostaglandin E receptor 4 is one of the receptors for prostaglandin E2 and can activate T-cell factor signaling.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;PTGER4
PTPN11 (NS1),PTPN11,NS1,5781,Cytokine Signaling in Immune system,Targeted by Other Immuno-Oncology Therapy Type,"NS1 or protein tyrosine phosphatase, non-receptor type 11 is a signaling molecule that regulates many cellular processes.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;NS1
RB1 (RB),RB1,RB,5925,Cell Cycle,Targeted by Other Immuno-Oncology Therapy Type,RB or RB transcriptional corepressor 1 is a negative regulator of the cell cycle and was the first tumor suppressor gene found.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;RB
ROBO1 (ROBO1),ROBO1,ROBO1,6091,Adaptive Immune System,Targeted by Other Immuno-Oncology Therapy Type,ROBO1 or roundabout guidance receptor 1 is a member of the immunoglobulin gene superfamily.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;ROBO1
CCL2 (CCL2),CCL2,CCL2,6347,Chemokine signaling,Targeted by Other Immuno-Oncology Therapy Type,CCL2 or C-C motif chemokine ligand 2 binds chemokine receptors CCR2 and CCR4 with chemotactic activity on monocytes and basophils.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;CCL2
SELPLG (CD162),SELPLG,CD162,6404,Cell surface interactions,Other immunomodulator,"CD162 or selectin P ligand is a glycoprotein that functions as a high affinity counter-receptor for the cell adhesion molecules P-, E- and L- selectin expressed on myeloid cells and stimulated T lymphocytes.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;CD162
TGFB3 (TGFB3),TGFB3,TGFB3,7043,Signal Transduction,Other immunomodulator,Transforming growth factor beta 3 is a secreted ligand in the TGF-beta superfamily of proteins.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;TGFB3
TK1 (TK1),TK1,TK1,7083,Cell Cycle,Targeted by Other Immuno-Oncology Therapy Type,TK1 or thymidine kinase 1 catalyzes the addition of a gamma-phosphate group to thymidine.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;TK1
TLR1 (CD281),TLR1,CD281,7096,Adaptive Immune System,Other immunomodulator,CD281 or Toll-like receptor 1 is a member of Toll-like receptor family and plays a role in pathogen recognition and activation of innate immunity.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;CD281
TNFRSF1A (TNFRSF1A),TNFRSF1A,TNFRSF1A,7132,Cytokine Signaling in Immune system,Other immunomodulator,"TNFRSF1A is a TNF receptor superfamily member. It plays a role in cell survival, apoptosis, and survival.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;TNFRSF1A
TNFRSF1B (TNFR2),TNFRSF1B,TNFR2,7133,Apoptosis,Other immunomodulator,TNFR2 is a TNF receptor superfamily member 1B. It mediates the recruitment of anti-apoptotic proteins.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;TNFR2
TPH1 (TPH1),TPH1,TPH1,7166,Amine-derived hormones,Other immunomodulator,Tryptophan hydroxylase 1 catalyzes the first and rate limiting step in the biosynthesis of serotonin.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;TPH1
TTK (TTK),TTK,TTK,7272,Cell Cycle,Targeted by Other Immuno-Oncology Therapy Type,TTK protein kinase is a dual specificity kinase found to be a critical mitotic checkpoint protein for the segregation of chromosomes.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;TTK
TYRP1 (TYRP1),TYRP1,TYRP1,7306,Metabolism of amino acids and derivatives,Targeted by Other Immuno-Oncology Therapy Type,TYRP1 or tyrosinase related protein 1 plays a role in melanin biosynthesis.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;TYRP1
TNFSF11 (TNFSF11),TNFSF11,TNFSF11,8600,Cytokine Signaling in Immune system,Other immunomodulator,"TNFSF11 is TNF superfamily member, and shown to be a dendritic cell survival factor and involved in the regulation of T cell-dependent immune response.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;TNFSF11
TNFRSF25 (TNFRSF12),TNFRSF25,TNFRSF12,8718,Cytokine Signaling in Immune system,Other immunomodulator,"TNFRSF12 is TNF receptor superfamily member, and may regulate lymphocyte homeostasis.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;TNFRSF12
TNFSF13 (TNFSF13),TNFSF13,TNFSF13,8741,Cytokine Signaling in Immune system,Other immunomodulator,"TNFSF13 is TNF superfamily member, and is important for B cell development.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;TNFSF13
TNFRSF11A (TNFRSF11A),TNFRSF11A,TNFRSF11A,8792,Cytokine Signaling in Immune system,Other immunomodulator,"TNFRSF11A is TNF receptor superfamily member, and regulate the interaction between T cells and dendritic cells.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;TNFRSF11A
TNFRSF10B (TNFRSF10B),TNFRSF10B,TNFRSF10B,8795,Adaptive Immune System,Other immunomodulator,"TNFRSF10B is TNF receptor superfamily member, and transduces apoptosis.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;TNFRSF10B
TNFRSF10A (TNFRSF10A),TNFRSF10A,TNFRSF10A,8797,Adaptive Immune System,Other immunomodulator,"TNFRSF10A is TNF receptor superfamily member, and induces apoptosis.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;TNFRSF10A
IL18R1 (IL18R1),IL18R1,IL18R1,8809,Cytokine Signaling in Immune system,Other immunomodulator,Interleukin 18 receptor 1 is induced by IFN-alpha and IL12 in NK and T cells.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;IL18R1
HDAC3 (HDAC3),HDAC3,HDAC3,8841,Chromatin modifying enzymes,Other immunomodulator,"Histone deacetylase 3 removes the acetyl groups from histones to play a role in transcriptional regulation, cell cycle, and development.",
PDLIM7 (LMP1),PDLIM7,LMP1,9260,Innate Immune System,Targeted by Other Immuno-Oncology Therapy Type,LMP1 or PDZ and LIM domain 7 functions in protein-protein recognition.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;LMP1
AIM2 (AIM2),AIM2,AIM2,9447,Innate Immune System,Other immunomodulator,AIM2 or absent in melanoma 2 is downstream of IFN-gamma and may control cell proliferation.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;AIM2
IL27RA (IL27R),IL27RA,IL27R,9466,Cytokine Signaling in Immune system,Other immunomodulator,IL27R or interleukin 27 receptor subunit alpha leads to transcriptional activation of STAT1 and augments the induction of T-bet expression during initiation of Th1 cell differentiation.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;IL27R
ISG15 (ISG15),ISG15,ISG15,9636,Cytokine Signaling in Immune system,Targeted by Other Immuno-Oncology Therapy Type,ISG15 or ISG15 ubiquitin-like modifier is a ubiquitin-like protein that may regulate chemotactic activity towards neutrophils.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;ISG15
VGLL4 (VGLL4),VGLL4,VGLL4,9686,Transcription Regulation,Targeted by Other Immuno-Oncology Therapy Type,VGLL4 or vestigial like family member 4 is a transcriptional cofactor that interacts with TEA domain transcription factors and lower expression correlates with poor survival in solid cancers.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;VGLL4
HDAC6 (HDAC6),HDAC6,HDAC6,10013,Adaptive Immune System,Other immunomodulator,"Histone deacetylase 6 removes the acetyl groups from histones to play a role in transcriptional regulation, cell cycle, and development.",
KLRG1 (KLRG1),KLRG1,KLRG1,10219,Adaptive Immune System,Other immunomodulator,KLRG1 or killer cell lectin like receptor G1 is preferentially expressed on NK cells and may be regulated by MHC class I molecules.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;KLRG1
TRAIP (TRAIP),TRAIP,TRAIP,10293,Adaptive Immune System,Targeted by Other Immuno-Oncology Therapy Type,TRAIP or TRAF interacting protein negatively regulates innate immune signaling by inhibiting TRAF2 activation of NFKB signaling.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;TRAIP
TNFSF13B (TNFSF13B),TNFSF13B,TNFSF13B,10673,Cytokine Signaling in Immune system,Other immunomodulator,TNFSF13B or TNF superfamily member 13b is a TNF superfamily member and acts as a B cell activator.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;TNFSF13B
DLL3 (DLL3),DLL3,DLL3,10683,Notch Signaling,Targeted by Other Immuno-Oncology Therapy Type,DLL3 or delta like canonical Notch ligand 3 is a Notch ligand being targeted in lung cancer.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;DLL3
HPSE (HPSE),HPSE,HPSE,10855,Glycosaminoglycan metabolism,Other immunomodulator,HPSE or heparanase cleaves heparan sulfate proteoglycans to permit cell movement through extracellular matrix.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;HPSE
CHEK2 (CHEK2),CHEK2,CHEK2,11200,Cell Cycle,Other immunomodulator,CHEK2 or checkpoint kinase 2 halts cell cycle progression in response to DNA damage and replication blocks.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;CHEK2
DKK1 (DKK1),DKK1,DKK1,22943,Signal Transduction,Targeted by Other Immuno-Oncology Therapy Type,DKK1 or dickkopf WNT signaling pathway inhibitor 1 is a negative regulator of the Wnt pathway and plays a role in development.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;DKK1
BRD4 (BRD4),BRD4,BRD4,23476,Chromatin regulation,T-cell targeted immunomodulator,BRD4 or bromodomain containing 4 associates with the chromosomes during mitosis.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;BRD4
SIGLEC9 (SIGLEC9),SIGLEC9,SIGLEC9,27180,Adaptive Immune System,T-cell targeted immunomodulator,SIGLEC9 or sialic acid binding Ig like lectin 9 has been found to be overexpressed in CD8 T cells in melanoma and may be suppress T-cell function.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;SIGLEC9
CLEC2D (CLEC2D),CLEC2D,CLEC2D,29121,Adaptive Immune System,Other immunomodulator,CLEC2D or C-type lectin domain family 2 member D is a member of the natural killer cell receptor C-type lectin family.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;CLEC2D
IL19 (IL19),IL19,IL19,29949,Cytokine Signaling in Immune system,Other immunomodulator,"IL19 or interleukin 19 belongs to the IL10 cytokine subfamily, and is preferentially expressed on monocytes.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;IL19
TNFRSF12A (TNFRSF12A),TNFRSF12A,TNFRSF12A,51330,Cytokine Signaling in Immune system,Other immunomodulator,"TNFRSF12A or TNF receptor superfamily member 12A is a TNF receptor superfamily member with roles in apoptosis, angiogenesis, cell adhesion and innate immune system.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;TNFRSF12A
PCDH18 (PCDH18),PCDH18,PCDH18,54510,Cell adhesion,Other immunomodulator,PCDH18 or protocadherin 18 is a protocadherin thought to play a role in cell-specific connections in the brain.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;PCDH18
RNF43 (RNF43),RNF43,RNF43,54894,Signal Transduction,Targeted by Other Immuno-Oncology Therapy Type,RNF43 or ring finger protein 43 is a RING-type E3 ubiquitin ligase and is thought to negatively regulate Wnt signaling.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;RNF43
GPRC5D (GPRC5D),GPRC5D,GPRC5D,55507,GPCRs,Targeted by Other Immuno-Oncology Therapy Type,GPRC5D or G protein-coupled receptor class C group 5 member D is a GPCR that has been a target for CAR T cells for multiple myeloma.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;GPRC5D
HDAC8 (HDAC8),HDAC8,HDAC8,55869,Cell Cycle,Other immunomodulator,"Histone deacetylase 8 removes the acetyl groups from histones to play a role in transcriptional regulation, cell cycle, and development.",
PVRL4 (NECTIN4),PVRL4,NECTIN4,81607,Adherens junctions interactions,Targeted by Other Immuno-Oncology Therapy Type,NECTIN4 or nectin cell adhesion molecule 4 is involved in cell adhesion.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;NECTIN4
MOSPD2 (MOSPD2),MOSPD2,MOSPD2,158747,Innate Immune System,Targeted by Other Immuno-Oncology Therapy Type,MOSPD2 or motile sperm domain containing 2 promotes migration of primary monocytes and neutrophils in response to chemokines.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;MOSPD2
SIGLEC15 (SIGLEC15),SIGLEC15,SIGLEC15,284266,Innate Immune System,Other immunomodulator,SIGLEC15 or sialic acid binding Ig like lectin 15 binds sialylated glycoproteins and plays a role in the innate immune system.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;SIGLEC15
ILDR2 (ILDR2),ILDR2,ILDR2,387597,T-cell activation,T-cell targeted immunomodulator,ILDR2 negatively regulates Notch signaling and T-cell activation.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;ILDR2
